epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.1708860695362091,2.2480275630950928,0.001,0.6458333134651184,1.776167869567871
1,0.5696202516555786,1.627945899963379,0.001,0.8125,1.2393431663513184
2,0.8227847814559937,1.1419728994369507,0.001,0.9375,0.8751431107521057
3,0.8607594966888428,0.8511208891868591,0.001,0.9375,0.6436849236488342
4,0.8860759735107422,0.6623492240905762,0.001,0.9375,0.48511576652526855
5,0.9177215099334717,0.5570669174194336,0.001,0.9375,0.3961904048919678
6,0.9303797483444214,0.4900698959827423,0.001,0.9583333134651184,0.3267374634742737
7,0.9620253443717957,0.38642770051956177,0.001,0.9583333134651184,0.2756015360355377
8,0.9683544039726257,0.34040555357933044,0.001,0.9583333134651184,0.2383674830198288
9,0.949367105960846,0.3396455645561218,0.001,0.9583333134651184,0.20975486934185028
10,0.9556962251663208,0.28525808453559875,0.001,0.9583333134651184,0.18477602303028107
11,0.9936708807945251,0.2232595533132553,0.001,0.9583333134651184,0.16967837512493134
12,0.9556962251663208,0.24139326810836792,0.001,0.9583333134651184,0.15682506561279297
13,0.9810126423835754,0.18875549733638763,0.001,0.9791666865348816,0.14442217350006104
14,0.9683544039726257,0.24558888375759125,0.001,0.9791666865348816,0.13350923359394073
15,0.9936708807945251,0.18272575736045837,0.001,0.9791666865348816,0.12917055189609528
16,0.9810126423835754,0.17594006657600403,0.001,0.9791666865348816,0.12432727962732315
17,0.9873417615890503,0.16639301180839539,0.001,0.9791666865348816,0.11520719528198242
18,0.9620253443717957,0.17161989212036133,0.001,0.9791666865348816,0.11095738410949707
19,0.9936708807945251,0.13813142478466034,0.001,0.9791666865348816,0.10812000185251236
20,0.9936708807945251,0.13520288467407227,0.001,0.9791666865348816,0.10535033792257309
21,0.9873417615890503,0.12631849944591522,0.001,0.9791666865348816,0.1006697341799736
22,1.0,0.12223206460475922,0.001,0.9791666865348816,0.09497880190610886
23,0.9873417615890503,0.14109757542610168,0.001,0.9791666865348816,0.09159433841705322
